# X , Y , E , DX

0.0714814,1.57242,0.0363383,0.00163024
0.0750554,1.51199,0.0301725,0.00170554
0.0788082,1.48255,0.0259693,0.00178622
0.0827486,1.4906,0.0233341,0.00187201
0.0868861,1.47914,0.0210441,0.00195783
0.0912304,1.44119,0.0187812,0.00204833
0.0957919,1.4257,0.0169789,0.00214637
0.100581,1.42687,0.0155248,0.0022495
0.105611,1.42441,0.0142676,0.00235592
0.110891,1.40042,0.013155,0.00247305
0.116436,1.39542,0.0123496,0.00259324
0.122257,1.37892,0.0115815,0.00272007
0.12837,1.374,0.0109716,0.00285233
0.134789,1.35452,0.0103352,0.00299009
0.141528,1.33823,0.00977628,0.00313408
0.148605,1.32207,0.00927191,0.00328591
0.156035,1.31161,0.00883621,0.00344308
0.163837,1.29564,0.00840589,0.00360951
0.172028,1.29082,0.0080829,0.00378336
0.18063,1.27925,0.00778629,0.00396946
0.189661,1.26754,0.00753527,0.00416261
0.199144,1.25999,0.00733303,0.00436565
0.209102,1.24653,0.0071223,0.00457744
0.219557,1.23985,0.006971,0.00479949
0.230535,1.22949,0.00682169,0.00503262
0.242061,1.21543,0.00667098,0.00527642
0.254164,1.21213,0.00659018,0.00553305
0.266873,1.20288,0.00649164,0.00580241
0.280216,1.19644,0.00641987,0.00608488
0.294227,1.18589,0.00633382,0.00638059
0.308938,1.1762,0.00625653,0.0066916
0.324385,1.16849,0.0061968,0.0070176
0.340605,1.15847,0.00613397,0.00735973
0.357635,1.15155,0.00609092,0.00771741
0.375517,1.14379,0.00604817,0.00809386
0.394292,1.13533,0.00601076,0.00848718
0.414007,1.12674,0.00598073,0.00890161
0.434707,1.11567,0.00594321,0.00933644
0.456443,1.10799,0.00593532,0.00979231
0.479265,1.09732,0.00592369,0.0102714
0.503228,1.09048,0.00594428,0.0107744
0.528389,1.08345,0.0059758,0.011302
0.554809,1.07498,0.00601451,0.0118558
0.582549,1.06782,0.00607195,0.0124376
0.611677,1.06007,0.00613445,0.0130479
0.642261,1.05608,0.00622313,0.0136879
0.674374,1.04533,0.00628084,0.01436
0.708092,1.037,0.00636161,0.0150646
0.743497,1.03262,0.00650639,0.0157954
0.780672,1.02731,0.00668856,0.0165564
0.819705,1.02163,0.00691734,0.017356
0.860691,1.02056,0.00723572,0.0181909
0.903725,1.01445,0.00750804,0.019069
0.948912,1.01126,0.00783126,0.0199823
0.996357,1.00573,0.00820384,0.0209392
1.04617,0.991483,0.00861951,0.0219393
1.09848,1.00015,0.00940351,0.0229859
1.15341,0.999604,0.0103122,0.0240851
1.21108,1.00076,0.0117251,0.0252324
1.27163,1.00945,0.0141997,0.0264262
1.33521,1.03289,0.0203282,0.0276449
1.40197,1.05861,0.0432253,0.0288965
1.47207,-nan(ind),-nan(ind),0
1.54568,-nan(ind),-nan(ind),0
1.62296,-nan(ind),-nan(ind),0
1.70411,-nan(ind),-nan(ind),0
1.78931,-nan(ind),-nan(ind),0
1.87878,-nan(ind),-nan(ind),0
1.9623,-nan(ind),-nan(ind),0
